Clientes;Contato;Status;Atendido por;Data
CARLOS HENRIQUE COSTA SANTOS LTDA;	Andrea (Embamac);Concluído;RAFAELLA TEUDSCHBEIN;2026-02-04T18:02:43.876Z
CICLOMADE - INDUSTRIA E COMERCIO DE ESPUMAS LTDA;	Bianca (Grupo Ciclomade);Concluído;RAFAELLA TEUDSCHBEIN;2026-02-04T17:47:51.283Z
CICLOMADE - INDUSTRIA E COMERCIO DE ESPUMAS LTDA;	Bianca (Grupo Ciclomade);Concluído;RAFAELLA TEUDSCHBEIN;2026-02-04T17:35:05.353Z
CICLOMADE - INDUSTRIA E COMERCIO DE ESPUMAS LTDA;	Bianca (Grupo Ciclomade);Concluído;RAFAELLA TEUDSCHBEIN;2026-02-04T17:20:05.368Z
CARGO BOOKING LOGISTICS LTDA;	Bruno - CARGO - CHINA;Concluído;Rafael Lopes Cardoso;2026-02-03T18:00:28.220Z
CARGO BOOKING LOGISTICS LTDA;	Bruno - CARGO - CHINA;Concluído;Rafael Lopes Cardoso;2026-02-03T16:43:26.067Z
;	Bruno - financeiro ELTEXS;Concluído;Angela de Sousa Moreira;2026-02-02T13:32:13.172Z
;	Camila Mariano (Gerente do Banco Embamac);Concluído;Renato Almeida;2026-02-05T16:34:52.012Z
L'ESSENCE DE BEAUTE COMERCIO LTDA;	Carolina L'Essence ;Concluído;JANAINA BOMFIM;2026-02-05T15:04:49.042Z
J.C.F. COMERCIO DE VESTUARIO LTDA,J.C.F. COMERCIO DE VESTUARIO LTDA,J.C.F. COMERCIO DE VESTUARIO LTDA,J.C.F. COMERCIO DE VESTUARIO LTDA,J.C.F. COMERCIO DE VESTUARIO LTDA,J.C.F. COMERCIO DE VESTUARIO LTDA,J.C.F. COMERCIO DE VESTUARIO LTDA,J.C.F. COMERCIO DE VESTUARIO LTDA,J.C.F. COMERCIO DE VESTUARIO LTDA,J.C.F. COMERCIO DE VESTUARIO LTDA,FFCJ INDUSTRIA DE CONFECCOES LTDA.,COISAS DE ALICE COMERCIO DE VESTUARIO LTDA,MLT COMERCIO DE CONFECCOES LTDA,NFCJ COMERCIO DE CONFECCOES LTDA,CONCEPTS COMERCIO & IDEAS PARA VAREJO LTDA,JULIRE VESTUARIOS LTDA,JOAL ADMINISTRACAO DE BENS PROPRIOS S.A.,JC PARTNERS FRANQUEADORA LTDA,CRF APOIO ADM LTDA,RWB ADM CONSULTORIA LTDA;	Claudia  (Grupo Jogê );Concluído;Jessica Rodrigues;2026-02-03T19:38:13.954Z
;	Contador antigo Tamany;Concluído;Anderson Silva;2026-02-04T14:19:53.588Z
;	Contador antigo Tamany;Concluído;Anderson Silva;2026-02-04T21:55:45.404Z
;	DANY - FINANCEIRO LINDA MENINA;Concluído;JANAINA BOMFIM;2026-02-04T17:13:40.079Z
;	DANY - FINANCEIRO LINDA MENINA;Concluído;JANAINA BOMFIM;2026-02-02T13:49:06.315Z
;	DANY - FINANCEIRO LINDA MENINA;Concluído;JANAINA BOMFIM;2026-02-02T21:03:42.562Z
;	DANY - FINANCEIRO LINDA MENINA;Concluído;JANAINA BOMFIM;2026-02-02T13:53:26.806Z
;	DP SafetyMed RJ;Concluído;Debora dias Barbosa;2026-02-03T19:12:42.960Z
;	DP SafetyMed RJ;Concluído;Debora dias Barbosa;2026-02-04T13:10:31.568Z
;	DP SafetyMed RJ;Concluído;Debora dias Barbosa;2026-02-04T14:21:17.632Z
;	DP SafetyMed RJ;Concluído;Debora dias Barbosa;2026-02-04T23:32:16.278Z
AP NATURA COMERCIO LTDA;	Davison - Los Chefes;Concluído;Renato Almeida;2026-02-02T14:33:11.636Z
AP NATURA COMERCIO LTDA;	Davison - Los Chefes;Concluído;Renato Almeida;2026-02-04T17:41:24.190Z
AP NATURA COMERCIO LTDA;	Davison - Los Chefes;Concluído;Renato Almeida;2026-02-03T17:01:08.332Z
AP NATURA COMERCIO LTDA;	Davison - Los Chefes;Concluído;Renato Almeida;2026-02-03T11:26:51.188Z
AP NATURA COMERCIO LTDA;	Davison - Los Chefes;Concluído;Renato Almeida;2026-02-02T15:48:44.387Z
AP NATURA COMERCIO LTDA;	Davison - Los Chefes;Concluído;Renato Almeida;2026-02-02T14:00:18.871Z
SORVDOCE COMERCIAL DE ALIMENTOS LTDA,SORVDOCE COMERCIAL DE ALIMENTOS LTDA,SORVDOCE COMERCIAL DE ALIMENTOS LTDA,SORVDOCE COMERCIAL DE ALIMENTOS LTDA;	Elizabeth / Lays - Sorvfoods;Concluído;Angela de Sousa Moreira;2026-02-03T19:46:20.072Z
SORVDOCE COMERCIAL DE ALIMENTOS LTDA,SORVDOCE COMERCIAL DE ALIMENTOS LTDA,SORVDOCE COMERCIAL DE ALIMENTOS LTDA,SORVDOCE COMERCIAL DE ALIMENTOS LTDA;	Elizabeth / Lays - Sorvfoods;Concluído;Jessica Rodrigues;2026-02-04T19:06:57.003Z
SORVDOCE COMERCIAL DE ALIMENTOS LTDA,SORVDOCE COMERCIAL DE ALIMENTOS LTDA,SORVDOCE COMERCIAL DE ALIMENTOS LTDA,SORVDOCE COMERCIAL DE ALIMENTOS LTDA;	Elizabeth / Lays - Sorvfoods;Concluído;Angela de Sousa Moreira;2026-02-03T19:59:28.941Z
SORVDOCE COMERCIAL DE ALIMENTOS LTDA,SORVDOCE COMERCIAL DE ALIMENTOS LTDA,SORVDOCE COMERCIAL DE ALIMENTOS LTDA,SORVDOCE COMERCIAL DE ALIMENTOS LTDA;	Elizabeth / Lays - Sorvfoods;Concluído;Angela de Sousa Moreira;2026-02-03T18:53:35.094Z
SORVDOCE COMERCIAL DE ALIMENTOS LTDA,SORVDOCE COMERCIAL DE ALIMENTOS LTDA,SORVDOCE COMERCIAL DE ALIMENTOS LTDA,SORVDOCE COMERCIAL DE ALIMENTOS LTDA;	Elizabeth / Lays - Sorvfoods;Concluído;Angela de Sousa Moreira;2026-02-03T14:25:24.240Z
SORVDOCE COMERCIAL DE ALIMENTOS LTDA,SORVDOCE COMERCIAL DE ALIMENTOS LTDA,SORVDOCE COMERCIAL DE ALIMENTOS LTDA,SORVDOCE COMERCIAL DE ALIMENTOS LTDA;	Elizabeth / Lays - Sorvfoods;Concluído;Angela de Sousa Moreira;2026-02-02T16:03:06.372Z
SORVDOCE COMERCIAL DE ALIMENTOS LTDA,SORVDOCE COMERCIAL DE ALIMENTOS LTDA,SORVDOCE COMERCIAL DE ALIMENTOS LTDA,SORVDOCE COMERCIAL DE ALIMENTOS LTDA;	Elizabeth / Lays - Sorvfoods;Concluído;Angela de Sousa Moreira;2026-02-02T14:27:32.026Z
;	Eltexs e Taxbase;Concluído;Angela de Sousa Moreira;2026-02-02T13:42:48.684Z
;	Eltexs e Taxbase;Concluído;Angela de Sousa Moreira;2026-02-04T18:54:14.148Z
;	Escola Realiza (Grupo);Concluído;Pamella albuquerque;2026-02-02T20:31:08.534Z
;	Escola Realiza (Grupo);Concluído;Rafael Lopes Cardoso;2026-02-03T18:06:03.048Z
TECHPOSTO CGE - TECNOLOGIA EM EQUIPAMENTOS LTDA,TECHPOSTO TECNOLOGIA EM EQUIPAMENTOS LTDA,TECHPOSTO CMP - TECNOLOGIA EM EQUIPAMENTOS LTDA.;	Ewerton (Grupo Techposto);Concluído;Renato Almeida;2026-02-02T16:19:20.655Z
TECHPOSTO CGE - TECNOLOGIA EM EQUIPAMENTOS LTDA,TECHPOSTO TECNOLOGIA EM EQUIPAMENTOS LTDA,TECHPOSTO CMP - TECNOLOGIA EM EQUIPAMENTOS LTDA.;	Ewerton (Grupo Techposto);Concluído;Renato Almeida;2026-02-04T12:58:37.938Z
TECHPOSTO CGE - TECNOLOGIA EM EQUIPAMENTOS LTDA,TECHPOSTO TECNOLOGIA EM EQUIPAMENTOS LTDA,TECHPOSTO CMP - TECNOLOGIA EM EQUIPAMENTOS LTDA.;	Ewerton (Grupo Techposto);Concluído;Renato Almeida;2026-02-02T19:58:03.890Z
TECHPOSTO CGE - TECNOLOGIA EM EQUIPAMENTOS LTDA,TECHPOSTO TECNOLOGIA EM EQUIPAMENTOS LTDA,TECHPOSTO CMP - TECNOLOGIA EM EQUIPAMENTOS LTDA.;	Ewerton (Grupo Techposto);Concluído;Renato Almeida;2026-02-02T19:59:33.816Z
TECHPOSTO CGE - TECNOLOGIA EM EQUIPAMENTOS LTDA,TECHPOSTO TECNOLOGIA EM EQUIPAMENTOS LTDA,TECHPOSTO CMP - TECNOLOGIA EM EQUIPAMENTOS LTDA.;	Ewerton (Grupo Techposto);Concluído;Renato Almeida;2026-02-04T13:13:24.095Z
TECHPOSTO CGE - TECNOLOGIA EM EQUIPAMENTOS LTDA,TECHPOSTO TECNOLOGIA EM EQUIPAMENTOS LTDA,TECHPOSTO CMP - TECNOLOGIA EM EQUIPAMENTOS LTDA.;	Ewerton (Grupo Techposto);Concluído;Renato Almeida;2026-02-04T13:33:46.004Z
TECHPOSTO CGE - TECNOLOGIA EM EQUIPAMENTOS LTDA,TECHPOSTO TECNOLOGIA EM EQUIPAMENTOS LTDA,TECHPOSTO CMP - TECNOLOGIA EM EQUIPAMENTOS LTDA.;	Ewerton (Grupo Techposto);Concluído;Renato Almeida;2026-02-02T14:51:19.151Z
TECHPOSTO CGE - TECNOLOGIA EM EQUIPAMENTOS LTDA,TECHPOSTO TECNOLOGIA EM EQUIPAMENTOS LTDA,TECHPOSTO CMP - TECNOLOGIA EM EQUIPAMENTOS LTDA.;	Ewerton (Grupo Techposto);Concluído;Renato Almeida;2026-02-02T14:20:14.652Z
TECHPOSTO CGE - TECNOLOGIA EM EQUIPAMENTOS LTDA,TECHPOSTO TECNOLOGIA EM EQUIPAMENTOS LTDA,TECHPOSTO CMP - TECNOLOGIA EM EQUIPAMENTOS LTDA.;	Ewerton (Grupo Techposto);Concluído;Renato Almeida;2026-02-02T13:58:18.875Z
TECHPOSTO CGE - TECNOLOGIA EM EQUIPAMENTOS LTDA,TECHPOSTO TECNOLOGIA EM EQUIPAMENTOS LTDA,TECHPOSTO CMP - TECNOLOGIA EM EQUIPAMENTOS LTDA.;	Ewerton (Grupo Techposto);Concluído;Renato Almeida;2026-02-02T15:49:33.560Z
;	FERNANDO - MY BAKER ITAIM;Concluído;Renato Almeida;2026-02-02T17:12:39.022Z
;	FERNANDO - MY BAKER ITAIM;Concluído;Renato Almeida;2026-02-02T18:23:43.036Z
;	FERNANDO - MY BAKER ITAIM;Concluído;Renato Almeida;2026-02-02T18:31:17.758Z
;	FERNANDO - MY BAKER ITAIM;Concluído;Renato Almeida;2026-02-03T11:26:48.108Z
;	FERNANDO - MY BAKER ITAIM;Concluído;Renato Almeida;2026-02-03T13:50:00.499Z
;	FERNANDO - MY BAKER ITAIM;Concluído;Renato Almeida;2026-02-04T18:39:23.502Z
;	FERNANDO - MY BAKER ITAIM;Concluído;Anderson Silva;2026-02-02T15:39:33.842Z
;	FERNANDO - MY BAKER ITAIM;Concluído;Renato Almeida;2026-02-02T16:11:56.456Z
;	Fabricio - Prime Skin;Concluído;Rafael Lopes Cardoso;2026-02-02T14:52:29.665Z
;	Fabricio - Prime Skin;Concluído;Rafael Lopes Cardoso;2026-02-04T14:59:27.231Z
;	Fabricio - Prime Skin;Concluído;Rafael Lopes Cardoso;2026-02-04T14:27:00.850Z
;	Fabricio - Prime Skin;Concluído;Rafael Lopes Cardoso;2026-02-02T16:47:14.848Z
;	Fabricio - Prime Skin;Concluído;Rafael Lopes Cardoso;2026-02-02T16:21:29.496Z
;	Fabricio - Prime Skin;Concluído;Rafael Lopes Cardoso;2026-02-02T16:11:44.623Z
ANNA TERRA PRODUTOS FARMACEUTICOS LTDA,ANNA TERRA SERVICOS LTDA;	Fernanda (Anna Terra);Concluído;RAFAELLA TEUDSCHBEIN;2026-02-03T14:13:36.058Z
LOUNGE HAIR FASHION LTDA;	Fernanda LOUNGE HAIR;Concluído;Anderson Silva;2026-02-04T15:14:43.241Z
LOUNGE HAIR FASHION LTDA;	Fernanda LOUNGE HAIR;Concluído;Anderson Silva;2026-02-02T12:47:46.292Z
LOUNGE HAIR FASHION LTDA;	Fernanda LOUNGE HAIR;Concluído;JANAINA BOMFIM;2026-02-05T16:55:27.898Z
LOUNGE HAIR FASHION LTDA;	Fernanda LOUNGE HAIR;Concluído;Anderson Silva;2026-02-02T14:17:03.223Z
LOUNGE HAIR FASHION LTDA;	Fernanda LOUNGE HAIR;Concluído;Anderson Silva;2026-02-03T15:35:08.791Z
INFINITE MOVEIS COMERCIAIS LTDA;	Financeiro - (Infinite Móveis);Concluído;Renato Almeida;2026-02-04T17:22:24.286Z
;	Fiscal Oficial Farma + Tax base;Concluído;Rafael Lopes Cardoso;2026-02-02T13:58:23.628Z
;	Fiscal Oficial Farma + Tax base;Concluído;Rafael Lopes Cardoso;2026-02-02T17:28:03.274Z
;	Fiscal Oficial Farma + Tax base;Concluído;Rafael Lopes Cardoso;2026-02-02T18:48:03.462Z
;	Fiscal Oficial Farma + Tax base;Concluído;Rafael Lopes Cardoso;2026-02-02T15:00:08.946Z
;	Fiscal Oficial Farma + Tax base;Concluído;Rafael Lopes Cardoso;2026-02-03T20:54:42.212Z
;	Fiscal Oficial Farma + Tax base;Concluído;Rafael Lopes Cardoso;2026-02-02T16:11:47.702Z
;	Fiscal Oficial Farma + Tax base;Concluído;Rafael Lopes Cardoso;2026-02-02T15:02:03.209Z
;	Fiscal Oficial Farma + Tax base;Concluído;Rafael Lopes Cardoso;2026-02-02T14:32:25.232Z
;	Fiscal Oficial Farma + Tax base;Concluído;Rafael Lopes Cardoso;2026-02-02T18:58:25.199Z
;	Fiscal Oficial Farma + Tax base;Concluído;Rafael Lopes Cardoso;2026-02-03T12:25:08.152Z
;	Fiscal Oficial Farma + Tax base;Concluído;Rafael Lopes Cardoso;2026-02-03T16:34:55.672Z
;	Fiscal Oficial Farma + Tax base;Concluído;JANAINA BOMFIM;2026-02-03T17:34:12.071Z
;	Fiscal Oficial Farma + Tax base;Concluído;JANAINA BOMFIM;2026-02-03T18:00:24.083Z
;	Fiscal Oficial Farma + Tax base;Concluído;JANAINA BOMFIM;2026-02-04T12:36:36.910Z
;	Fiscal Oficial Farma + Tax base;Concluído;JANAINA BOMFIM;2026-02-04T18:10:26.747Z
;	Fiscal Oficial Farma + Tax base;Concluído;JANAINA BOMFIM;2026-02-04T19:16:57.325Z
;	Fiscal Oficial Farma + Tax base;Concluído;JANAINA BOMFIM;2026-02-04T20:55:31.917Z
;	Fiscal Oficial Farma + Tax base;Concluído;Rafael Lopes Cardoso;2026-02-02T13:46:19.812Z
;	Gabriel - Exraven;Concluído;GABRIELA ROSA;2026-02-02T20:30:50.891Z
;	Geovanna Bataglia - GRUPO EVANDRO;Concluído;Rafael Lopes Cardoso;2026-02-05T13:37:53.591Z
;	Giovanna (Operação Concurso);Concluído;Rafael Lopes Cardoso;2026-02-02T17:08:12.134Z
D N BENVENUTI & CIA LTDA,J S BENVENUTI & CIA LTDA;	Gislaine - Financeiro (GRUPO BENVENUTI);Concluído;Rafael Lopes Cardoso;2026-02-02T13:46:14.008Z
D N BENVENUTI & CIA LTDA,J S BENVENUTI & CIA LTDA;	Gislaine - Financeiro (GRUPO BENVENUTI);Concluído;Anderson Silva;2026-02-02T12:34:59.051Z
;	Giuliano Passini - FAZZIO e AZG;Concluído;JANAINA BOMFIM;2026-02-03T13:50:12.202Z
;	Giuliano Passini - FAZZIO e AZG;Concluído;JANAINA BOMFIM;2026-02-03T12:22:24.945Z
;	Giuliano Passini - FAZZIO e AZG;Concluído;JANAINA BOMFIM;2026-02-03T16:46:12.813Z
;	Guilherme - BRACHI / NEXUS;Concluído;Renato Almeida;2026-02-03T20:44:58.976Z
;	Guilherme - BRACHI / NEXUS;Concluído;Renato Almeida;2026-02-03T20:58:23.649Z
;	Guilherme - BRACHI / NEXUS;Concluído;Renato Almeida;2026-02-04T11:51:39.212Z
ESTILO CORRETORA DE SEGUROS LTDA,ESTILO ASSESSORIA E CORRETORA DE SEGUROS LTDA;	Gustavo (Estilo Corretora);Concluído;Angela de Sousa Moreira;2026-02-03T16:56:07.217Z
ESTILO CORRETORA DE SEGUROS LTDA,ESTILO ASSESSORIA E CORRETORA DE SEGUROS LTDA;	Gustavo (Estilo Corretora);Concluído;Angela de Sousa Moreira;2026-02-03T16:47:58.214Z
ESTILO CORRETORA DE SEGUROS LTDA,ESTILO ASSESSORIA E CORRETORA DE SEGUROS LTDA;	Gustavo (Estilo Corretora);Concluído;Angela de Sousa Moreira;2026-02-03T16:33:24.416Z
ESTILO CORRETORA DE SEGUROS LTDA,ESTILO ASSESSORIA E CORRETORA DE SEGUROS LTDA;	Gustavo (Estilo Corretora);Concluído;Angela de Sousa Moreira;2026-02-03T14:36:36.395Z
ESTILO CORRETORA DE SEGUROS LTDA,ESTILO ASSESSORIA E CORRETORA DE SEGUROS LTDA;	Gustavo (Estilo Corretora);Concluído;Angela de Sousa Moreira;2026-02-03T14:42:37.517Z
GNC PLACAS INDUSTRIA E COMERCIO LTDA,PIV ESTAMPAGEM DE PLACAS DE IDENTIFICACAO VEICULAR LTDA,EMPLAQUE JA COMERCIO DE PLACAS LTDA;	Ismã (Grupo GNC);Concluído;CIBELLE ROSA;2026-02-04T13:45:21.115Z
GNC PLACAS INDUSTRIA E COMERCIO LTDA,PIV ESTAMPAGEM DE PLACAS DE IDENTIFICACAO VEICULAR LTDA,EMPLAQUE JA COMERCIO DE PLACAS LTDA;	Ismã (Grupo GNC);Concluído;Rafael Lopes Cardoso;2026-02-04T13:55:33.814Z
GNC PLACAS INDUSTRIA E COMERCIO LTDA,PIV ESTAMPAGEM DE PLACAS DE IDENTIFICACAO VEICULAR LTDA,EMPLAQUE JA COMERCIO DE PLACAS LTDA;	Ismã (Grupo GNC);Concluído;JANAINA BOMFIM;2026-02-04T12:41:40.449Z
GNC PLACAS INDUSTRIA E COMERCIO LTDA,PIV ESTAMPAGEM DE PLACAS DE IDENTIFICACAO VEICULAR LTDA,EMPLAQUE JA COMERCIO DE PLACAS LTDA;	Ismã (Grupo GNC);Concluído;CIBELLE ROSA;2026-02-04T20:19:36.239Z
METALURGICA NOVO TEMPO LTDA,PORTO ESTRUTURAS METALICAS LTDA;	Ivane Porto ;Concluído;CIBELLE ROSA;2026-02-03T20:03:48.702Z
METALURGICA NOVO TEMPO LTDA,PORTO ESTRUTURAS METALICAS LTDA;	Ivane Porto ;Concluído;CIBELLE ROSA;2026-02-03T20:58:57.184Z
CICLOMADE - INDUSTRIA E COMERCIO DE ESPUMAS LTDA;	Jean (Ciclomade);Concluído;Rafael Lopes Cardoso;2026-02-03T13:41:33.352Z
;	Junior ITJ;Concluído;Brenda Souza;2026-02-04T19:29:50.812Z
;	Kassia (GLOBAL JET);Concluído;JANAINA BOMFIM;2026-02-04T20:50:58.625Z
;	Kassia (GLOBAL JET);Concluído;Debora dias Barbosa;2026-02-03T19:12:38.803Z
;	Kassia (GLOBAL JET);Concluído;Debora dias Barbosa;2026-02-04T13:27:52.283Z
;	Kassia (GLOBAL JET);Concluído;Debora dias Barbosa;2026-02-04T15:11:41.292Z
LILATUR VIAGENS EXCLUSIVAS LTDA,LILIAN CRISTIANE CLARO ANEZ;	LILATUR Viagens Exclusivas;Concluído;GABRIELA ROSA;2026-02-02T20:29:48.972Z
LILATUR VIAGENS EXCLUSIVAS LTDA,LILIAN CRISTIANE CLARO ANEZ;	LILATUR Viagens Exclusivas;Concluído;Angela de Sousa Moreira;2026-02-03T14:25:27.978Z
LILATUR VIAGENS EXCLUSIVAS LTDA,LILIAN CRISTIANE CLARO ANEZ;	LILATUR Viagens Exclusivas;Concluído;Angela de Sousa Moreira;2026-02-03T16:33:12.927Z
;	Luciene (Frutas Pain);Concluído;Renato Almeida;2026-02-03T12:05:40.897Z
;	Luciene (Frutas Pain);Concluído;Renato Almeida;2026-02-03T11:35:15.853Z
;	Luciene (Frutas Pain);Concluído;Renato Almeida;2026-02-03T14:04:32.555Z
;	Luciene (Frutas Pain);Concluído;Renato Almeida;2026-02-04T12:25:10.211Z
;	Luciene (Frutas Pain);Concluído;Renato Almeida;2026-02-04T12:32:41.263Z
;	Lucimara GPG;Concluído;Anderson Silva;2026-02-04T17:18:17.360Z
;	Lucimara GPG;Concluído;Anderson Silva;2026-02-04T18:23:13.735Z
;	Lucimara GPG;Concluído;Rafael Lopes Cardoso;2026-02-04T16:16:33.250Z
;	MARCUS JOGÊ;Concluído;Renato Almeida;2026-02-04T11:56:14.532Z
;	MARCUS JOGÊ;Concluído;Renato Almeida;2026-02-04T18:38:27.816Z
;	MARCUS JOGÊ;Concluído;Renato Almeida;2026-02-05T15:14:03.465Z
;	MARCUS JOGÊ;Concluído;Renato Almeida;2026-02-03T12:52:16.561Z
;	MARCUS JOGÊ;Concluído;Renato Almeida;2026-02-03T16:11:18.673Z
;	MARCUS JOGÊ;Concluído;Renato Almeida;2026-02-03T19:57:27.568Z
;	MARCUS JOGÊ;Concluído;Renato Almeida;2026-02-04T18:33:18.399Z
;	MARCUS JOGÊ;Concluído;Renato Almeida;2026-02-04T17:41:07.194Z
;	MARCUS JOGÊ;Concluído;Renato Almeida;2026-02-04T12:03:15.129Z
;	MARCUS JOGÊ;Concluído;Renato Almeida;2026-02-04T11:51:18.781Z
CAPPATTO MAQUINAS E ACESSORIOS INDUSTRIAIS LTDA,WAGNER ORLANDO CAPPATTO LTDA;	Maittê - WC Máquinas;Concluído;Renato Almeida;2026-02-02T16:51:52.116Z
CAPPATTO MAQUINAS E ACESSORIOS INDUSTRIAIS LTDA,WAGNER ORLANDO CAPPATTO LTDA;	Maittê - WC Máquinas;Concluído;Renato Almeida;2026-02-04T12:19:57.993Z
CAPPATTO MAQUINAS E ACESSORIOS INDUSTRIAIS LTDA,WAGNER ORLANDO CAPPATTO LTDA;	Maittê - WC Máquinas;Concluído;Renato Almeida;2026-02-02T19:56:10.016Z
CAPPATTO MAQUINAS E ACESSORIOS INDUSTRIAIS LTDA,WAGNER ORLANDO CAPPATTO LTDA;	Maittê - WC Máquinas;Concluído;Renato Almeida;2026-02-03T12:37:56.924Z
CAPPATTO MAQUINAS E ACESSORIOS INDUSTRIAIS LTDA,WAGNER ORLANDO CAPPATTO LTDA;	Maittê - WC Máquinas;Concluído;Renato Almeida;2026-02-03T12:47:06.104Z
CAPPATTO MAQUINAS E ACESSORIOS INDUSTRIAIS LTDA,WAGNER ORLANDO CAPPATTO LTDA;	Maittê - WC Máquinas;Concluído;Renato Almeida;2026-02-04T12:20:22.673Z
CAPPATTO MAQUINAS E ACESSORIOS INDUSTRIAIS LTDA,WAGNER ORLANDO CAPPATTO LTDA;	Maittê - WC Máquinas;Concluído;Renato Almeida;2026-02-04T14:41:07.172Z
CAPPATTO MAQUINAS E ACESSORIOS INDUSTRIAIS LTDA,WAGNER ORLANDO CAPPATTO LTDA;	Maittê - WC Máquinas;Concluído;Renato Almeida;2026-02-02T13:19:53.821Z
CAPPATTO MAQUINAS E ACESSORIOS INDUSTRIAIS LTDA,WAGNER ORLANDO CAPPATTO LTDA;	Maittê - WC Máquinas;Concluído;Renato Almeida;2026-02-04T15:56:03.086Z
CAPPATTO MAQUINAS E ACESSORIOS INDUSTRIAIS LTDA,WAGNER ORLANDO CAPPATTO LTDA;	Maittê - WC Máquinas;Concluído;Renato Almeida;2026-02-05T14:06:42.735Z
CAPPATTO MAQUINAS E ACESSORIOS INDUSTRIAIS LTDA,WAGNER ORLANDO CAPPATTO LTDA;	Maittê - WC Máquinas;Concluído;Renato Almeida;2026-02-05T15:14:16.336Z
IBRASCAN - TECNOLOGIA DA INFORMACAO LTDA,IBRASCAN - TECNOLOGIA DA INFORMACAO LTDA;	Marina - IBRASCAN;Concluído;Brenda Souza;2026-02-04T19:29:14.936Z
;	Modelação Stilus;Concluído;Angela de Sousa Moreira;2026-02-03T16:33:32.772Z
;	Modelação Stilus;Concluído;Angela de Sousa Moreira;2026-02-03T16:22:06.801Z
;	Pam✨;Concluído;RAFAELLA TEUDSCHBEIN;2026-02-05T11:53:36.229Z
;	Pam✨;Concluído;RAFAELLA TEUDSCHBEIN;2026-02-04T19:59:36.206Z
OASIS PRODUTOS CERAMICOS LTDA;	Patricia - Oasis Bedore;Concluído;Renato Almeida;2026-02-03T20:46:46.627Z
OASIS PRODUTOS CERAMICOS LTDA;	Patricia - Oasis Bedore;Concluído;JANAINA BOMFIM;2026-02-04T12:47:17.611Z
OASIS PRODUTOS CERAMICOS LTDA;	Patricia - Oasis Bedore;Concluído;Renato Almeida;2026-02-04T11:55:36.910Z
